"filename", "language", "Go Checksum File", "Go Module File", "MS SQL", "Go", "Properties", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\desul\Desktop\Тестовое задание\.env", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\desul\Desktop\Тестовое задание\README.md", "Markdown", 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\desul\Desktop\Тестовое задание\app\app.go", "Go", 0, 0, 0, 78, 0, 0, 0, 0, 0, 21, 99
"c:\Users\desul\Desktop\Тестовое задание\cmd\app\main.go", "Go", 0, 0, 0, 31, 0, 0, 0, 0, 5, 13, 49
"c:\Users\desul\Desktop\Тестовое задание\config\config.go", "Go", 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\desul\Desktop\Тестовое задание\config\config_test.go", "Go", 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"c:\Users\desul\Desktop\Тестовое задание\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 35, 0, 0, 4, 39
"c:\Users\desul\Desktop\Тестовое задание\docs\docs.go", "Go", 0, 0, 0, 391, 0, 0, 0, 0, 2, 5, 398
"c:\Users\desul\Desktop\Тестовое задание\docs\swagger.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 372, 0, 0, 372
"c:\Users\desul\Desktop\Тестовое задание\docs\swagger.yaml", "YAML", 0, 0, 0, 0, 0, 0, 243, 0, 0, 1, 244
"c:\Users\desul\Desktop\Тестовое задание\go.mod", "Go Module File", 0, 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\desul\Desktop\Тестовое задание\go.sum", "Go Checksum File", 135, 0, 0, 0, 0, 0, 0, 0, 0, 1, 136
"c:\Users\desul\Desktop\Тестовое задание\internal\logger\logger.go", "Go", 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\desul\Desktop\Тестовое задание\internal\render\render.go", "Go", 0, 0, 0, 35, 0, 0, 0, 0, 0, 12, 47
"c:\Users\desul\Desktop\Тестовое задание\middleware\middleware.go", "Go", 0, 0, 0, 28, 0, 0, 0, 0, 0, 11, 39
"c:\Users\desul\Desktop\Тестовое задание\migrations\20240920134653_create_table.sql", "MS SQL", 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\desul\Desktop\Тестовое задание\thunder-music-info.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 145
"c:\Users\desul\Desktop\Тестовое задание\v1\controller\handler\add.go", "Go", 0, 0, 0, 59, 0, 0, 0, 0, 11, 14, 84
"c:\Users\desul\Desktop\Тестовое задание\v1\controller\handler\delete.go", "Go", 0, 0, 0, 71, 0, 0, 0, 0, 11, 15, 97
"c:\Users\desul\Desktop\Тестовое задание\v1\controller\handler\get.go", "Go", 0, 0, 0, 69, 0, 0, 0, 0, 13, 16, 98
"c:\Users\desul\Desktop\Тестовое задание\v1\controller\handler\get_all.go", "Go", 0, 0, 0, 77, 0, 0, 0, 0, 13, 15, 105
"c:\Users\desul\Desktop\Тестовое задание\v1\controller\handler\update.go", "Go", 0, 0, 0, 75, 0, 0, 0, 0, 11, 16, 102
"c:\Users\desul\Desktop\Тестовое задание\v1\domain\domain.go", "Go", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\desul\Desktop\Тестовое задание\v1\mocks\Repository.go", "Go", 0, 0, 0, 104, 0, 0, 0, 0, 9, 30, 143
"c:\Users\desul\Desktop\Тестовое задание\v1\models\models.go", "Go", 0, 0, 0, 9, 0, 0, 0, 0, 5, 3, 17
"c:\Users\desul\Desktop\Тестовое задание\v1\repository.go", "Go", 0, 0, 0, 9, 0, 0, 0, 0, 1, 3, 13
"c:\Users\desul\Desktop\Тестовое задание\v1\repository\postgres.go", "Go", 0, 0, 0, 88, 0, 0, 0, 0, 0, 20, 108
"c:\Users\desul\Desktop\Тестовое задание\v1\routes.go", "Go", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\desul\Desktop\Тестовое задание\v1\usecase.go", "Go", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\desul\Desktop\Тестовое задание\v1\usecase\usecase.go", "Go", 0, 0, 0, 108, 0, 0, 0, 0, 0, 28, 136
"c:\Users\desul\Desktop\Тестовое задание\v1\usecase\usecase_add_test.go", "Go", 0, 0, 0, 49, 0, 0, 0, 0, 0, 6, 55
"c:\Users\desul\Desktop\Тестовое задание\v1\usecase\usecase_delete_test.go", "Go", 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"c:\Users\desul\Desktop\Тестовое задание\v1\usecase\usecase_get_all_test.go", "Go", 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"c:\Users\desul\Desktop\Тестовое задание\v1\usecase\usecase_get_test.go", "Go", 0, 0, 0, 50, 0, 0, 0, 0, 0, 6, 56
"c:\Users\desul\Desktop\Тестовое задание\v1\usecase\usecase_update_test.go", "Go", 0, 0, 0, 45, 0, 0, 0, 0, 0, 6, 51
"Total", "-", 135, 42, 9, 1603, 3, 6, 278, 517, 87, 296, 2976